segment_id,acc_total,pred_risk_level,risk_score,risk_pct
37784,0,2,0.6696600692812353,67.0
37785,0,2,0.6684467632633945,66.8
37786,0,2,0.6698488957093408,67.0
37787,0,2,0.6681713017169386,66.8
37788,0,2,0.6672366180767616,66.7
37789,0,2,0.6684467632633945,66.8
37790,0,2,0.6678856391226873,66.8
37791,0,2,0.6699364726276448,67.0
37792,0,2,0.6685840326438969,66.9
37793,0,2,0.6673658251141509,66.7
37794,0,2,0.6675859075427676,66.8
37795,0,2,0.6707633404294029,67.1
37796,0,2,0.6679258305036152,66.8
37797,0,2,0.6683247537196925,66.8
37798,0,2,0.6688050298641125,66.9
37799,0,2,0.6692481177548567,66.9
37800,0,2,0.6688417182692016,66.9
37801,0,2,0.6700143647224953,67.0
37802,0,2,0.6687786186424395,66.9
37803,0,2,0.6696886377952372,67.0
37804,0,2,0.6687786186424395,66.9
37805,0,2,0.6684467632633945,66.8
37806,0,2,0.6670524191188937,66.7
37807,0,2,0.6677885764511302,66.8
37808,0,2,0.668652574143683,66.9
37809,0,2,0.6680501181011399,66.8
37810,0,2,0.6672798380022869,66.7
37811,0,2,0.6673856246828412,66.7
37812,0,2,0.6459437478333712,64.6
37813,0,2,0.6680978937462593,66.8
37814,0,2,0.6688644617873555,66.9
37815,0,2,0.6679965373671924,66.8
37816,0,2,0.6671451561075324,66.7
37817,0,2,0.6688644617873555,66.9
37818,0,2,0.6691764672286808,66.9
37819,0,2,0.6675803781254217,66.8
37820,0,2,0.6680764276534319,66.8
37821,0,2,0.6674515928607434,66.7
37822,0,2,0.6686869870560864,66.9
37823,0,2,0.6690846998244524,66.9
37824,0,2,0.6688644617873555,66.9
37825,0,2,0.6682594975767037,66.8
37826,0,2,0.6690846998244524,66.9
37827,0,2,0.6688254211718837,66.9
37828,0,2,0.6688644617873555,66.9
37829,0,2,0.6685212485026568,66.9
37830,0,2,0.6673308301639432,66.7
37831,0,2,0.66746122816888,66.7
37832,0,2,0.668670027400367,66.9
37833,0,2,0.6688644617873555,66.9
37834,0,2,0.6688644617873555,66.9
37835,0,2,0.6685211696118737,66.9
37836,0,2,0.6688644617873555,66.9
37837,0,2,0.6693951116952425,66.9
37838,0,2,0.6689745701150969,66.9
37839,0,2,0.6688644617873555,66.9
37840,0,2,0.6250177975744009,62.5
37841,0,2,0.6678336089632163,66.8
37842,0,2,0.6693564153198773,66.9
37843,0,2,0.6684422675364962,66.8
37844,0,2,0.6679291394927228,66.8
37845,0,2,0.6681145455998679,66.8
37846,0,2,0.6693564153198773,66.9
37847,0,2,0.6537018058200678,65.4
37848,0,0,0.37327251334985095,37.3
37849,0,2,0.668218242082124,66.8
37850,0,2,0.667722843044127,66.8
37851,0,2,0.6693564153198773,66.9
37852,0,2,0.6681413300102577,66.8
37853,0,2,0.6647116566697756,66.5
37854,0,2,0.6684531267965212,66.8
37855,0,2,0.6676712975216409,66.8
37856,0,2,0.6688644617873555,66.9
37857,0,2,0.6688644617873555,66.9
37858,0,2,0.664426064506794,66.4
37859,0,2,0.6687351438061645,66.9
37860,0,2,0.6685212485026568,66.9
37861,0,2,0.6688644617873555,66.9
37862,0,2,0.6694377754659703,66.9
37863,0,2,0.6694377754659703,66.9
37864,0,2,0.6694377754659703,66.9
37865,0,2,0.6694377754659703,66.9
37866,0,2,0.6689745701150969,66.9
37867,0,2,0.6689745701150969,66.9
37868,0,2,0.6693951116952425,66.9
37869,0,2,0.6693951116952425,66.9
37870,0,2,0.6677831198321655,66.8
37871,0,2,0.6690846998244524,66.9
37872,0,2,0.6687351438061645,66.9
37873,0,2,0.6688644617873555,66.9
37874,0,2,0.6688644617873555,66.9
37875,0,2,0.6683001921434576,66.8
37876,0,2,0.6700003013635675,67.0
37877,0,2,0.6688458124796549,66.9
37878,0,2,0.6689745701150969,66.9
37879,0,2,0.6689353191759437,66.9
